n°ordre-alph18012,nom,nom,insee,section,superficie,intendance,election,subdelegation,grenier,coutume,parlement,bailliage,gouvernement,diocese,archidiacone,doyenne,vocable,presentateur,V_1250_f,V_1616_f,V_1665_f,V_1680_f_tot,V_1680_f_masc,V_1686_f_tot,V_1686_f_masc,V_1693_h,V_1700_f,V_1709_f,V_1710_f,V_1713_f,V_1720_f,V_1725_f,V_1725_g,V_1726_f,V_1726_g,V_1730_f,V_1735_f_1,V_1735_f_2_totaux,V_1735_f_2_masc,V_1741_f,V_1743_f,V_1745_f_tot,V_1745_f_masc,V_1746_f_tot,V_1746_f_masc,V_1755_f_tot,V_1755_f_masc,V_1757_f_tot,V_1757_f_masc,V_1766_f,V_1768_f,V_1774_f,V_1775_f_tot,V_1775_f_masc,V_1785_f_tot,V_1785_f_masc,V_1786_f,V_1786_g,V_1787_f,V_1787_g,V_1788_f,V_1788_g,V_1789_f1,V_1789_g,V_1789_f_2,V_1789_f_3,district_1790,canton_1790,canton_1801,arrondissement_1982,canton _1982,V_1790_f,V_1790_h,V_1793_h,V_an_II_h,V_an_IV_h,V_1801_h,V_an_XII_h,V_1806_h,V_1820_h,V_1826_h,V_1831_h,V_1836_h,V_1841_h,V_1846_h,V_1851_h,V_1856_h,V_1861_h,V_1866_h,V_1872_h,V_1876_h,V_1881_h,V_1886_h,V_1891_h,V_1896_h,V_1901_h,V_1906_h,V_1911_h,V_1921_h,V_1926_h,V_1931_h,V_1936_h,V_1946_h,V_1954_h,V_1962_a_h,V_1962_b_h,V_1968_h,V_1975_h,V_1982_h,lat,lon
72,Abondant,Abondant,28001,s_o,3480,Paris,Dreux,Dreux,Dreux,Chartres,Paris,Dreux,Île-de-France,Chartres,Dreux,Dreux,saint Pierre,abbé de Coulombs et chapitre de Dreux alternativement,78,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,29!,n_c,188,58!,190,513,188,594,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,58,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Dreux,Bû,Anet,Dreux,Anet,n_c,1125,1162,1137,1167,1176,1209,1217,1144,1160,1140,1146,1132,1180,1185,1067,933,921,868,879,821,809,916,744,724,724,728,622,678,676,616,728,747,732,751,815,1017,1314,48.786794,1.424893
428,Allaines-Mervilliers,Allaines-Mervilliers,28002,A,2222,Orléans,Orléans,Orléans,Janville,Orléans,Paris,Janville (Orléans),Orléanais,Orléans,Beauce,s_o,saint Martin et saint Phalier,archidiacre de Beauce,n_c,100,92,n_c,n_c,n_c,n_c,n_c,n_c,94,n_c,100,94,21,62,84,302,n_c,98,n_c,n_c,115,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,94,lac.,n_c,n_c,n_c,n_c,n_c,111,389,109,409,112,404,116,414,108,n_c,Janville,Janville,Janville,Chartres,Janville,107,400,lac.,446,lac.,465,497,476,502,536,552,576,550,537,569,563,563,585,583,564,539,520,530,524,489,469,407,351,375,370,394,388,358,308,326,309,306,277,48.190379,1.825523
22151,Mervilliers,Mervilliers,28002,B,s_o,Orléans,Orléans,Orléans,Janville,Orléans,Paris,Orléans,Orléanais,Orléans,Beauce,s_o,saint Fiacre,archidiacre de Beauce,n_c,lac.,25,n_c,n_c,n_c,n_c,n_c,n_c,23,n_c,20,23,21,71,21,72,n_c,23,n_c,n_c,32,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,23,25,n_c,n_c,n_c,n_c,n_c,24,97,23,94,24,99,25,101,n_c,n_c,Janville,Janville,Janville,s_i,s_i,24,100,lac.,123,lac.,89,80,109,123,131,132,134,134,134,124,134,141,153,145,112,123,120,120,118,115,110,105,86,89,110,107,89,84,66,70,63,s_i,s_i,,
430,Allainville,Allainville,28003,s_o,528,Alençon,Verneuil,La Ferté-Vidame ,Dreux,Châteauneuf-en-Thymerais,Paris,Châteauneuf-en-Thymerais,Normandie,Chartres,Dreux,Brézolles,saint Sanson,abbé de Coulombs,60,n_c,n_c,lac.,lac.,lac.,lac.,n_c,n_c,28,n_c,31,28,24,87,21,86,n_c,n_c,38,34,n_c,n_c,29,28,n_c,n_c,30,29,lac.,lac.,lac.,n_c,n_c,32,27,34,30,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Dreux,Dreux,Dreux,Dreux,Dreux-Ouest ,n_c,127,125,109,95,118,112,107,101,99,100,113,108,93,82,83,76,74,66,72,66,65,55,55,55,63,64,60,64,47,51,61,62,49,50,42,35,82,,
526,Allonnes,Allonnes,28004,s_o,1025,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Orléanais,Chartres,Grand archidiaconé,Auneau,saint Jacques,abbé de Saint-Père,102,n_c,64,n_c,n_c,n_c,n_c,n_c,n_c,58,n_c,68,58,78,309,79,290,n_c,83,n_c,n_c,58,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,58,75,82,n_c,n_c,n_c,n_c,85,290,85,290,87,296,87,293,lac.,n_c,Janville,Voves,Voves,Chartres,Voves,85,300,lac.,350,288,328,380,373,412,446,416,426,388,381,428,452,445,470,428,410,404,412,374,362,339,326,341,270,284,283,245,274,247,200,211,222,188,168,,
519,Alluyes,Alluyes,28005,A,1958,Orléans,Châteaudun,Châteaudun,Bonneval,Chartres,Paris,Chartres ,Orléanais,Chartres,Grand archidiaconé,Brou ,Notre Dame,abbé de Bonneval,126,n_c,136,n_c,n_c,n_c,n_c,n_c,n_c,143,n_c,162,143,116,345,130,416,n_c,122,n_c,n_c,106,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,143,lac.,n_c,n_c,n_c,n_c,n_c,133,403,143,402,143,355,149,484,150,n_c,Châteaudun,Bonneval,Bonneval,Châteaudun,Bonneval,n_c,604,lac.,599,lac.,638,633,664,547,596,783,819,775,851,866,869,859,799,778,773,774,772,765,789,774,734,746,760,772,741,704,623,677,641,703,720,692,548,,
31995,Saint-Germain les Alluyes,Saint-Germain les Alluyes,28005,B,s_o,Orléans,Châteaudun,Châteaudun,Bonneval,Chartres,Paris,Chartres ,Orléanais,Chartres,Grand archidiaconé,Brou,saint Germain,abbé de Saint-Père,108,n_c,67,n_c,n_c,n_c,n_c,n_c,n_c,69,n_c,51,69,49,149,57,182,n_c,35,n_c,n_c,47,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,69,52,n_c,n_c,n_c,n_c,n_c,52,144,60,151,66,150,46,173,50,n_c,Châteaudun,Bonneval,Bonneval,s_i,s_i,n_c,192,lac.,218,lac.,256,231,225,193,233,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,,
664,Amilly,Amilly,28006,s_o,2001,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Orléanais,Chartres,Grand archidiaconé,Courville,saint Pierre et saint Paul,chapitre de Chartres,200,125,83,n_c,n_c,n_c,n_c,n_c,n_c,74,n_c,80,74,49,176,52,189,n_c,60,n_c,n_c,74,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,74,76,72,n_c,n_c,n_c,n_c,99,320,100,325,93,306,92,303,lac.,n_c,Chartres,Bailleau-l’Évêque,Chartres Nord,Chartres,Lucé ,n_c,390,lac.,390,lac.,408,385,409,381,384,365,390,382,404,416,431,420,410,393,392,383,366,355,346,333,355,346,368,401,381,354,433,420,535,554,676,1168,1779,,
789,Anet,Anet,28007,s_o,785,Paris,Dreux,Dreux,Dreux,Chartres,Paris,Chartres,Île-de-France,Chartres,Pinserais,Mantes,saint Cyr et sainte Julite,abbé de Saint-Père,196,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,204,n_c,287,241,263,606,282,731,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,241,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,350,n_c,Dreux,Anet,Anet,Dreux,Anet,n_c,1550,1620,1475,lac.,1557,1512,1486,1322,1297,1416,1422,1409,1401,1400,1344,1406,1418,1447,1465,1447,1466,1431,1395,1316,1372,1395,1256,1239,1252,1235,1294,1215,1300,1341,1464,1700,2297,,
1134,Ardelles,Ardelles,28008,s_o,1040,Alençon,Verneuil,La Ferté-Vidame ,Dreux,Chartres,Paris,Chartres,Normandie,Chartres,Dreux,Dreux,Notre Dame,abbé de Bonneval,45,n_c,n_c,85,65,n_c,n_c,n_c,n_c,61,n_c,72,61,44,143,51,148,n_c,n_c,56,44,n_c,n_c,49,41,n_c,n_c,59,53,lac.,lac.,lac.,n_c,n_c,lac.,lac.,lac.,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,lac.,n_c,Châteauneuf-en-Thymerais,Châteauneuf-en-Thymerais,Châteauneuf-en-Thymerais,Dreux,Châteauneuf-en-Thymerais,68,240,lac.,212,lac.,229,235,236,191,192,262,233,221,206,208,227,22,203,215,221,223,227,228,201,178,182,195,164,179,171,175,193,158,119,127,143,112,114,,
